Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,7
,,,Post-secondary: Diploma/ Certificate,4261
,,,Post-secondary: Sub-degree course,3042
,,,Post-secondary: Degree course,11119
,,,Post-secondary: Post-graduate,439
,,,Sub-Total,18868
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,67
,,,Post-secondary: Diploma/ Certificate,2133
,,,Post-secondary: Sub-degree course,1515
,,,Post-secondary: Degree course,2886
,,,Post-secondary: Post-graduate,158
,,,Sub-Total,6759
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,802
,,,Post-secondary: Sub-degree course,455
,,,Post-secondary: Degree course,1186
,,,Post-secondary: Post-graduate,21
,,,Sub-Total,2464
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,221
,,,Post-secondary: Diploma/ Certificate,2713
,,,Post-secondary: Sub-degree course,2278
,,,Post-secondary: Degree course,3263
,,,Post-secondary: Post-graduate,201
,,,Sub-Total,8676
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,246
,,,Post-secondary: Diploma/ Certificate,3085
,,,Post-secondary: Sub-degree course,1494
,,,Post-secondary: Degree course,2881
,,,Post-secondary: Post-graduate,170
,,,Sub-Total,7876
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,191
,,,Post-secondary: Sub-degree course,86
,,,Post-secondary: Degree course,78
,,,Post-secondary: Post-graduate,31
,,,Sub-Total,386
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,429
,,,Post-secondary: Diploma/ Certificate,2138
,,,Post-secondary: Sub-degree course,1675
,,,Post-secondary: Degree course,2330
,,,Post-secondary: Post-graduate,182
,,,Sub-Total,6754
,,No schooling,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,-
,,Sub-Total,No schooling,-
,,,Pre-primary,105
,,,Primary,1937
,,,Lower secondary,12078
,,,Upper secondary,38452
,,,Matriculation (including Technician level),3522
