Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Matriculation (including Technician level),-
,,,Craft level education,25
,,,Post-secondary: Diploma/ Certificate,252
,,,Post-secondary: Sub-degree course,213
,,,Post-secondary: Degree course,435
,,,Post-secondary: Post-graduate,97
,,,Sub-Total,1022
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,281
,,,Post-secondary: Diploma/ Certificate,818
,,,Post-secondary: Sub-degree course,645
,,,Post-secondary: Degree course,2232
,,,Post-secondary: Post-graduate,1342
,,,Sub-Total,5318
,,No schooling,No schooling,91
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,91
,,Sub-Total,No schooling,91
,,,Pre-primary,2202
,,,Primary,14701
,,,Lower secondary,41539
,,,Upper secondary,51039
,,,Matriculation (including Technician level),7211
,,,Craft level education,1371
,,,Post-secondary: Diploma/ Certificate,13103
,,,Post-secondary: Sub-degree course,9150
,,,Post-secondary: Degree course,45555
,,,Post-secondary: Post-graduate,22959
,,,Sub-Total,208921
,45 - 49,Secondary and below,No schooling,-
,,,Pre-primary,3836
,,,Primary,19719
,,,Lower secondary,44189
,,,Upper secondary,55213
,,,Matriculation (including Technician level),7264
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,130221
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,144
,,,Post-secondary: Diploma/ Certificate,1173
,,,Post-secondary: Sub-degree course,837
,,,Post-secondary: Degree course,4340
,,,Post-secondary: Post-graduate,2045
,,,Sub-Total,8539
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,536
,,,Post-secondary: Sub-degree course,313
,,,Post-secondary: Degree course,2670
,,,Post-secondary: Post-graduate,1597
,,,Sub-Total,5116
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,283
,,,Post-secondary: Sub-degree course,131
,,,Post-secondary: Degree course,721
,,,Post-secondary: Post-graduate,755
,,,Sub-Total,1890
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,47
,,,Post-secondary: Diploma/ Certificate,2896
,,,Post-secondary: Sub-degree course,1678
,,,Post-secondary: Degree course,11275
,,,Post-secondary: Post-graduate,7664
,,,Sub-Total,23560
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,32
,,,Post-secondary: Diploma/ Certificate,1358
,,,Post-secondary: Sub-degree course,784
,,,Post-secondary: Degree course,4659
,,,Post-secondary: Post-graduate,2028
,,,Sub-Total,8861
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,364
,,,Post-secondary: Sub-degree course,232
,,,Post-secondary: Degree course,1512
,,,Post-secondary: Post-graduate,810
,,,Sub-Total,2918
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,205
,,,Post-secondary: Diploma/ Certificate,1567
,,,Post-secondary: Sub-degree course,1001
,,,Post-secondary: Degree course,3812
,,,Post-secondary: Post-graduate,1294
,,,Sub-Total,7879
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,696
,,,Post-secondary: Diploma/ Certificate,3143
,,,Post-secondary: Sub-degree course,1827
,,,Post-secondary: Degree course,5448
,,,Post-secondary: Post-graduate,2413
,,,Sub-Total,13527
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,153
,,,Post-secondary: Diploma/ Certificate,411
,,,Post-secondary: Sub-degree course,377
,,,Post-secondary: Degree course,540
,,,Post-secondary: Post-graduate,103
,,,Sub-Total,1584
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,368
,,,Post-secondary: Diploma/ Certificate,718
,,,Post-secondary: Sub-degree course,423
,,,Post-secondary: Degree course,1694
,,,Post-secondary: Post-graduate,1133
,,,Sub-Total,4336
,,No schooling,No schooling,179
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,179
,,Sub-Total,No schooling,179
,,,Pre-primary,3836
,,,Primary,19719
,,,Lower secondary,44189
,,,Upper secondary,55213
,,,Matriculation (including Technician level),7264
,,,Craft level education,1645
,,,Post-secondary: Diploma/ Certificate,12449
,,,Post-secondary: Sub-degree course,7603
,,,Post-secondary: Degree course,36671
,,,Post-secondary: Post-graduate,19842
,,,Sub-Total,208610
,50 - 54,Secondary and below,No schooling,-
,,,Pre-primary,7532
,,,Primary,35512
,,,Lower secondary,49761
,,,Upper secondary,66247
,,,Matriculation (including Technician level),11473
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,170525
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,79
,,,Post-secondary: Diploma/ Certificate,1352
,,,Post-secondary: Sub-degree course,632
,,,Post-secondary: Degree course,4108
,,,Post-secondary: Post-graduate,2410
,,,Sub-Total,8581
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,9
,,,Post-secondary: Diploma/ Certificate,417
,,,Post-secondary: Sub-degree course,312
,,,Post-secondary: Degree course,2576
,,,Post-secondary: Post-graduate,1135
,,,Sub-Total,4449
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,446
,,,Post-secondary: Sub-degree course,169
,,,Post-secondary: Degree course,736
,,,Post-secondary: Post-graduate,639
,,,Sub-Total,1990
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,3312
,,,Post-secondary: Sub-degree course,2269
,,,Post-secondary: Degree course,9514
,,,Post-secondary: Post-graduate,6596
,,,Sub-Total,21691
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,69
,,,Post-secondary: Diploma/ Certificate,803
,,,Post-secondary: Sub-degree course,648
,,,Post-secondary: Degree course,3721
,,,Post-secondary: Post-graduate,1281
,,,Sub-Total,6522
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,591
,,,Post-secondary: Sub-degree course,250
,,,Post-secondary: Degree course,1336
,,,Post-secondary: Post-graduate,942
,,,Sub-Total,3119
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,276
,,,Post-secondary: Diploma/ Certificate,2245
,,,Post-secondary: Sub-degree course,1012
,,,Post-secondary: Degree course,3245
,,,Post-secondary: Post-graduate,1290
,,,Sub-Total,8068
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,1037
,,,Post-secondary: Diploma/ Certificate,3161
,,,Post-secondary: Sub-degree course,2269
,,,Post-secondary: Degree course,4341
,,,Post-secondary: Post-graduate,1711
,,,Sub-Total,12519
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,95
,,,Post-secondary: Diploma/ Certificate,587
,,,Post-secondary: Sub-degree course,547
,,,Post-secondary: Degree course,441
,,,Post-secondary: Post-graduate,269
,,,Sub-Total,1939
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,235
,,,Post-secondary: Diploma/ Certificate,734
,,,Post-secondary: Sub-degree course,658
,,,Post-secondary: Degree course,2137
,,,Post-secondary: Post-graduate,1242
,,,Sub-Total,5006
,,No schooling,No schooling,3426
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,3426
,,Sub-Total,No schooling,3426
,,,Pre-primary,7532
,,,Primary,35512
,,,Lower secondary,49761
,,,Upper secondary,66247
,,,Matriculation (including Technician level),11473
,,,Craft level education,1800
,,,Post-secondary: Diploma/ Certificate,13648
,,,Post-secondary: Sub-degree course,8766
,,,Post-secondary: Degree course,32155
,,,Post-secondary: Post-graduate,17515
,,,Sub-Total,247835
,55 - 59,Secondary and below,No schooling,-
,,,Pre-primary,16414
,,,Primary,54442
,,,Lower secondary,47641
,,,Upper secondary,54583
,,,Matriculation (including Technician level),10001
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,183081
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,69
,,,Post-secondary: Diploma/ Certificate,701
,,,Post-secondary: Sub-degree course,753
,,,Post-secondary: Degree course,2862
,,,Post-secondary: Post-graduate,1700
,,,Sub-Total,6085
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,17
,,,Post-secondary: Diploma/ Certificate,355
,,,Post-secondary: Sub-degree course,281
,,,Post-secondary: Degree course,1490
,,,Post-secondary: Post-graduate,570
,,,Sub-Total,2713
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,163
,,,Post-secondary: Sub-degree course,153
,,,Post-secondary: Degree course,520
,,,Post-secondary: Post-graduate,725
,,,Sub-Total,1561
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,2651
,,,Post-secondary: Sub-degree course,1882
,,,Post-secondary: Degree course,5986
,,,Post-secondary: Post-graduate,5275
,,,Sub-Total,15794
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,14
,,,Post-secondary: Diploma/ Certificate,559
,,,Post-secondary: Sub-degree course,282
,,,Post-secondary: Degree course,1469
,,,Post-secondary: Post-graduate,649
,,,Sub-Total,2973
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,300
,,,Post-secondary: Sub-degree course,74
,,,Post-secondary: Degree course,941
,,,Post-secondary: Post-graduate,638
,,,Sub-Total,1953
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,236
,,,Post-secondary: Diploma/ Certificate,2283
,,,Post-secondary: Sub-degree course,1111
,,,Post-secondary: Degree course,2895
,,,Post-secondary: Post-graduate,1429
,,,Sub-Total,7954
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,597
,,,Post-secondary: Diploma/ Certificate,2550
,,,Post-secondary: Sub-degree course,1708
,,,Post-secondary: Degree course,3042
,,,Post-secondary: Post-graduate,1302
,,,Sub-Total,9199
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,82
,,,Post-secondary: Diploma/ Certificate,381
,,,Post-secondary: Sub-degree course,336
,,,Post-secondary: Degree course,164
,,,Post-secondary: Post-graduate,74
,,,Sub-Total,1037
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,476
,,,Post-secondary: Diploma/ Certificate,688
,,,Post-secondary: Sub-degree course,553
,,,Post-secondary: Degree course,1586
,,,Post-secondary: Post-graduate,742
,,,Sub-Total,4045
,,No schooling,No schooling,4443
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,4443
,,Sub-Total,No schooling,4443
,,,Pre-primary,16414
,,,Primary,54442
,,,Lower secondary,47641
,,,Upper secondary,54583
,,,Matriculation (including Technician level),10001
,,,Craft level education,1491
,,,Post-secondary: Diploma/ Certificate,10631
,,,Post-secondary: Sub-degree course,7133
,,,Post-secondary: Degree course,20955
,,,Post-secondary: Post-graduate,13104
,,,Sub-Total,240838
,60 - 64,Secondary and below,No schooling,-
,,,Pre-primary,16205
,,,Primary,42504
,,,Lower secondary,28552
,,,Upper secondary,24992
,,,Matriculation (including Technician level),4304
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,116557
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,50
,,,Post-secondary: Diploma/ Certificate,642
,,,Post-secondary: Sub-degree course,227
,,,Post-secondary: Degree course,1433
,,,Post-secondary: Post-graduate,743
,,,Sub-Total,3095
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,91
,,,Post-secondary: Sub-degree course,49
,,,Post-secondary: Degree course,974
,,,Post-secondary: Post-graduate,249
,,,Sub-Total,1363
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,170
,,,Post-secondary: Sub-degree course,104
,,,Post-secondary: Degree course,328
,,,Post-secondary: Post-graduate,142
,,,Sub-Total,744
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,67
,,,Post-secondary: Diploma/ Certificate,1416
,,,Post-secondary: Sub-degree course,745
,,,Post-secondary: Degree course,3374
,,,Post-secondary: Post-graduate,2032
,,,Sub-Total,7634
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,11
,,,Post-secondary: Diploma/ Certificate,155
,,,Post-secondary: Sub-degree course,73
,,,Post-secondary: Degree course,371
,,,Post-secondary: Post-graduate,147
,,,Sub-Total,757
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,210
,,,Post-secondary: Sub-degree course,104
,,,Post-secondary: Degree course,518
,,,Post-secondary: Post-graduate,373
,,,Sub-Total,1205
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,182
,,,Post-secondary: Diploma/ Certificate,776
,,,Post-secondary: Sub-degree course,563
,,,Post-secondary: Degree course,1183
,,,Post-secondary: Post-graduate,486
,,,Sub-Total,3190
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,269
,,,Post-secondary: Diploma/ Certificate,945
,,,Post-secondary: Sub-degree course,601
,,,Post-secondary: Degree course,1731
,,,Post-secondary: Post-graduate,373
,,,Sub-Total,3919
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,55
,,,Post-secondary: Diploma/ Certificate,95
,,,Post-secondary: Sub-degree course,109
,,,Post-secondary: Degree course,129
,,,Post-secondary: Post-graduate,52
,,,Sub-Total,440
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,230
,,,Post-secondary: Diploma/ Certificate,248
,,,Post-secondary: Sub-degree course,293
,,,Post-secondary: Degree course,837
,,,Post-secondary: Post-graduate,578
,,,Sub-Total,2186
,,No schooling,No schooling,4417
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,4417
,,Sub-Total,No schooling,4417
,,,Pre-primary,16205
,,,Primary,42504
,,,Lower secondary,28552
,,,Upper secondary,24992
,,,Matriculation (including Technician level),4304
,,,Craft level education,864
,,,Post-secondary: Diploma/ Certificate,4748
,,,Post-secondary: Sub-degree course,2868
,,,Post-secondary: Degree course,10878
,,,Post-secondary: Post-graduate,5175
,,,Sub-Total,145507
,65+,Secondary and below,No schooling,-
,,,Pre-primary,12562
,,,Primary,24793
,,,Lower secondary,16775
,,,Upper secondary,14566
,,,Matriculation (including Technician level),3558
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,72254
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,71
,,,Post-secondary: Diploma/ Certificate,370
,,,Post-secondary: Sub-degree course,281
,,,Post-secondary: Degree course,1213
,,,Post-secondary: Post-graduate,592
,,,Sub-Total,2527
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,191
,,,Post-secondary: Sub-degree course,131
,,,Post-secondary: Degree course,944
,,,Post-secondary: Post-graduate,589
,,,Sub-Total,1855
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,222
,,,Post-secondary: Sub-degree course,126
,,,Post-secondary: Degree course,309
,,,Post-secondary: Post-graduate,145
,,,Sub-Total,802
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,799
,,,Post-secondary: Sub-degree course,598
,,,Post-secondary: Degree course,2325
,,,Post-secondary: Post-graduate,1267
,,,Sub-Total,4989
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,13
,,,Post-secondary: Diploma/ Certificate,130
,,,Post-secondary: Sub-degree course,39
,,,Post-secondary: Degree course,111
,,,Post-secondary: Post-graduate,85
,,,Sub-Total,378
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,149
,,,Post-secondary: Sub-degree course,77
,,,Post-secondary: Degree course,910
,,,Post-secondary: Post-graduate,312
,,,Sub-Total,1448
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,134
,,,Post-secondary: Diploma/ Certificate,501
,,,Post-secondary: Sub-degree course,310
,,,Post-secondary: Degree course,887
,,,Post-secondary: Post-graduate,397
,,,Sub-Total,2229
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,268
,,,Post-secondary: Diploma/ Certificate,495
,,,Post-secondary: Sub-degree course,416
,,,Post-secondary: Degree course,1298
,,,Post-secondary: Post-graduate,331
,,,Sub-Total,2808
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,11
,,,Post-secondary: Diploma/ Certificate,65
,,,Post-secondary: Sub-degree course,172
,,,Post-secondary: Degree course,81
,,,Post-secondary: Post-graduate,7
,,,Sub-Total,336
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,109
,,,Post-secondary: Diploma/ Certificate,196
,,,Post-secondary: Sub-degree course,83
,,,Post-secondary: Degree course,778
,,,Post-secondary: Post-graduate,229
,,,Sub-Total,1395
,,No schooling,No schooling,4009
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,4009
,,Sub-Total,No schooling,4009
,,,Pre-primary,12562
,,,Primary,24793
,,,Lower secondary,16775
,,,Upper secondary,14566
,,,Matriculation (including Technician level),3558
,,,Craft level education,606
,,,Post-secondary: Diploma/ Certificate,3118
,,,Post-secondary: Sub-degree course,2233
,,,Post-secondary: Degree course,8856
,,,Post-secondary: Post-graduate,3954
,,,Sub-Total,95030
,Sub-Total,Secondary and below,No schooling,-
,,,Pre-primary,60316
,,,Primary,211747
,,,Lower secondary,319696
,,,Upper secondary,452491
,,,Matriculation (including Technician level),71004
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,1115254
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,929
,,,Post-secondary: Diploma/ Certificate,15122
,,,Post-secondary: Sub-degree course,12148
,,,Post-secondary: Degree course,47610
,,,Post-secondary: Post-graduate,18361
,,,Total,94170
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,95
,,,Post-secondary: Diploma/ Certificate,4968
,,,Post-secondary: Sub-degree course,3477
,,,Post-secondary: Degree course,31123
,,,Post-secondary: Post-graduate,12391
,,,Total,52054
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,3122
,,,Post-secondary: Sub-degree course,1942
,,,Post-secondary: Degree course,7381
,,,Post-secondary: Post-graduate,5566
,,,Total,18011
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,223
,,,Post-secondary: Diploma/ Certificate,32424
,,,Post-secondary: Sub-degree course,21784
,,,Post-secondary: Degree course,124348
,,,Post-secondary: Post-graduate,48368
,,,Total,227147
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,415
,,,Post-secondary: Diploma/ Certificate,14900
,,,Post-secondary: Sub-degree course,10464
,,,Post-secondary: Degree course,46829
,,,Post-secondary: Post-graduate,14537
,,,Total,87145
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,4569
,,,Post-secondary: Sub-degree course,2410
,,,Post-secondary: Degree course,13938
